tok	original_global_distance	global_distance_qst	global_times_distance_qst	local_distance_qst	local_times_distance_qst	year_1	year_2
poly(adp	0.2118444120883941	0.5224924708800704	0.1106871103142009	0.6968913680029009	0.006110970742534393	2009	2010
partners	0.1599721193313598	0.49153090672845123	0.07863124086621529	0.6259013949126174	0.001607042045001027	2009	2010
permeation	0.2802437496185302	0.5651662104783327	0.15838429798214343	0.6946043250067414	0.004055491832815752	2009	2010
137	0.3850170564651489	0.5924145193064734	0.2280896944305945	0.7829515554016759	0.0025687909860775	2009	2010
sixty	0.1700930750370025	0.5200448375811749	0.08845602558130056	0.578387571960594	0.0010632275969954912	2009	2010
-0.4	0.279969652891159	0.5456883299440485	0.1527761723211915	0.6416977943643285	0.0016252748592011333	2009	2010
vigorously	0.8141960352659225	0.6038732827513333	0.491671232619153	0.870434785676632	0.30623893403230307	2009	2010
pdgf	0.2831492680311203	0.5713766792019651	0.16178488848608866	0.7468247375476682	0.004817445860995052	2009	2010
vesicular	0.239220044016838	0.5458838445887403	0.1305863573305992	0.6910079842798769	0.00209801112567201	2009	2010
normalised	0.7313188014924527	0.5903893319690485	0.4317628186695343	0.858279608904544	0.17541926852147965	2009	2010
transgenesis	0.3516511672735214	0.5806466644694924	0.20418507733417374	0.6985349846216395	0.00567503633043803	2009	2010
efficacies	0.4064562511444092	0.5838255034345395	0.23729952544850033	0.7403345399541067	0.013031133548448719	2009	2010
argue	0.09227921128273	0.5388964268447017	0.049728937232310484	0.6032944787309719	0.0002422996058249082	2009	2010
compatible	0.1861523574590683	0.5586393341187603	0.10399202901557136	0.6324507386182909	0.0017298339785097425	2009	2010
polarized	0.2471924901008605	0.5706460210460305	0.14105941090851631	0.7177404824350098	0.0032634867801155606	2009	2010
recover	0.1911687535047531	0.5640762077503708	0.10783374551732654	0.6673768683825341	0.001412663941049856	2009	2010
waterborne	0.4927343514561653	0.5913856321208867	0.29139601590357944	0.7786724772471254	0.017417182251539504	2009	2010
0.81	0.2441237771511077	0.5747923621300904	0.140320482520805	0.647066415080448	0.0007404080823778965	2009	2010
precipitated	0.3479358834028244	0.5831312605583315	0.20289229028216565	0.8669607249636762	0.01804186531252607	2009	2010
declined	0.1259317696094512	0.5480727205878679	0.06901976757829652	0.640086833708024	0.0008001951475116915	2009	2010
represent	0.0925706332921981	0.49146778954617903	0.04549548452100653	0.5290020596472987	0.00023172369340131502	2009	2010
adaptations	0.206970545053482	0.5494056235679738	0.11371078136531171	0.6972687966944543	0.0030613288593550605	2009	2010
rescues	0.1906712931394577	0.5534660988571188	0.10553009677793777	0.6448759453993068	0.0011850762308547424	2009	2010
protocols	0.1727917641401291	0.5360798577409913	0.09263018433905533	0.6298615372904215	0.0008946148713423385	2009	2010
2.1	0.291982347369194	0.5522388865283349	0.16124400639709316	0.5989896316614114	0.0016323508692355616	2009	2010
nearly	0.2369078642129898	0.4782601077702635	0.11330358067012745	0.5695909451047676	0.0049649483425457	2009	2010
sarcoplasmic	0.3144987201690674	0.513132487238511	0.16137951051368202	0.6538906622805066	0.009094581032459342	2009	2010
intratumoral	0.2343733465671539	0.5698558093689639	0.13355901310253815	0.8630103594704177	0.01085421268628288	2009	2010
unresectable	0.2349489480257034	0.5514882885831011	0.12957159325109513	0.6242208150892025	0.0017709739160699297	2009	2010
port	0.3379726052284241	0.5901704663462893	0.1994614500399294	0.7510520134273959	0.004950513717942321	2009	2010
underneath	0.5477238509058953	0.564853702035142	0.3093838448771391	0.7885438622222779	0.025731064760941905	2009	2010
0.01	0.3237712448835373	0.4920573670104774	0.1593140262710979	0.4612124356902944	0.0036546764916734567	2009	2010
opposite	0.1789306610822677	0.525867508252688	0.09409382089333834	0.7777935158478132	0.0058687888962242005	2009	2010
rms	0.4731702318787574	0.620977712384999	0.2938281681607503	0.937199092206494	0.09289590580856505	2009	2010
registration	0.2487274664640426	0.5437347883683632	0.13524177633922535	0.7136988904518279	0.005868436832538427	2009	2010
atrial	0.2434387409687042	0.5646939170538219	0.13746837620026828	0.7324948794661131	0.0040808044908038155	2009	2010
supplemental	0.423522155880928	0.591374841582813	0.2504603478408952	0.8415927424485817	0.025901932247188567	2009	2010
achieves	0.1996229404211044	0.5578245079181235	0.11135456850957146	0.6456276745524743	0.0015729672806561962	2009	2010
encompassed	0.6619670188426972	0.5688112500371361	0.376534287471271	0.8671060231093051	0.12581528786722593	2009	2010
labour	0.2674579495191574	0.5599748633105793	0.149769728723318	0.7323876279271881	0.004773564006860785	2009	2010
treated	0.0952940398454665	0.46582029589180235	0.04438989783754041	0.553131420546386	0.00042071998462628584	2009	2010
synonymous	0.1816373550891876	0.5220138298784489	0.0948172113790986	0.6619082640780973	0.003140826125787308	2009	2010
neurochemical	0.1959017449617386	0.5300631610232327	0.10384029818438631	0.621999666917271	0.0011384853465295568	2009	2010
looks	0.2754788267612457	0.5613376576413497	0.1546366393439448	0.6660306667579444	0.0024326217722228627	2009	2010
uses	0.121647668480873	0.5210942262461123	0.0633898976816841	0.6746442243591825	0.0006723555221886705	2009	2010
overlying	0.3083855628967285	0.5607246361139739	0.17291938253807113	0.7432156851679633	0.0037855668909145502	2009	2010
was	0.0337770879268645	0.41165678512014425	0.013904567426693477	0.4641389018943224	0.0002528900606265212	2009	2010
ryr1	0.4184144681692123	0.5813695073022469	0.2432534132076666	0.8089634068939481	0.014827877857968278	2009	2010
adoptively	0.3098897802829742	0.5169031263436255	0.16018299625020854	0.6288449664688437	0.004539730679273233	2009	2010
progestin	0.2972844403982162	0.5518976332139234	0.1640705790471012	0.7079334272785403	0.005695675379404547	2009	2010
clue	0.3867897933721542	0.5315486196989655	0.20559758078061663	0.7270893918091795	0.034080560922664115	2009	2010
legs	0.2745365715026855	0.5709797369158904	0.15675481937039393	0.7859997370249674	0.00422506734870483	2009	2010
appearance	0.1966137212514877	0.5502422644211882	0.10818517919769488	0.705509574732029	0.002041374944763808	2009	2010
executed	0.4222252041101456	0.5900552517558395	0.24913619910887266	0.7551489989827896	0.012311741346547013	2009	2010
postulated	0.1800597894191742	0.5754541345588922	0.10361615028906725	0.6033238233015539	0.0006853119472260528	2009	2010
ascending	0.3139430493116378	0.5573255483490153	0.17496848210797047	0.7101483418644717	0.004414687822808977	2009	2010
burn	0.2648473107814789	0.5624771619476655	0.1489705637178376	0.732170865949372	0.006537770484141968	2009	2010
founder	0.2524479740858078	0.5668884644994465	0.14310984439549967	0.7716968723602018	0.005646151864617575	2009	2010
ihc	0.221281571984291	0.5936267461293263	0.13135865955541695	0.6667196951461035	0.001676200830207932	2009	2010
atrophy	0.1949862205982208	0.5521049115206788	0.10765285007113225	0.7869995059057285	0.0033844291079966294	2009	2010
micrograms	0.6971908254921436	0.627158009281552	0.43724881020501466	0.9213372906741663	0.13876558514884468	2009	2010
subset	0.1452975451946258	0.5290561438806963	0.07687055897599991	0.6352570718706748	0.0015353095248735369	2009	2010
allocation	0.3110608714818954	0.5721503492240618	0.17797358624830745	0.791179991912342	0.01026233773035971	2009	2010
proceeded	0.4215269023180008	0.5525303395549109	0.23290640246929473	0.5839152827533225	0.0050994961844179265	2009	2010
gastrocnemius	0.2521211379766464	0.5195026600554135	0.13097760183506574	0.6109494688205469	0.003231108709151355	2009	2010
hl-60	0.2289826154708862	0.562232663706594	0.1287415058386991	0.6791822199969003	0.001285187536097672	2009	2010
injecting	0.2361171674728393	0.5571617200329358	0.13155544715847192	0.6954075646191359	0.004574170164767304	2009	2010
prove	0.1544505232572555	0.5490282329441043	0.08479769786122328	0.6375167683658083	0.000679181640599472	2009	2010
homozygosity	0.2429681372642517	0.5393217688488688	0.131038005563271	0.7774161790011381	0.004520013331555497	2009	2010
50.0	0.2977833187580108	0.5944160383309169	0.17700718061716939	0.7874913730431167	0.001852570139373398	2009	2010
spots	0.2247556561231613	0.5432626165181704	0.12210134582272676	0.7827837363545027	0.010875811111103837	2009	2010
pre	0.239206565618515	0.4727710319633722	0.11308993487987945	0.54845678629758	0.0034858260862660937	2009	2010
scavenging	0.1740501397848129	0.5264132532648291	0.09162230031532162	0.7204329945486316	0.00298629050743344	2009	2010
disciplinary	0.2809752815961838	0.5148824734019384	0.14466924795304925	0.5655396119520884	0.005895356843828527	2009	2010
70	0.1873052924871444	0.5465334363601874	0.10236860515144901	0.5956714449405336	0.0004920757256410294	2009	2010
treat	0.1505909132957458	0.5133201025311964	0.07730134305323876	0.6489805181065693	0.001407106417790281	2009	2010
justification	0.4014073818922042	0.5755522904078884	0.23103093803469207	0.8159559452697354	0.020033258583178993	2009	2010
but	0.0592616397142409	0.4020819299576824	0.023828034468758818	0.4503773957103162	0.00017848776445741356	2009	2010
neutropenia	0.1918410968780517	0.5516407225633463	0.10582736129915336	0.6655244297497281	0.001774726549998459	2009	2010
generally	0.229936676621437	0.5328527078328836	0.12252238076782682	0.5995232482015129	0.002016573059243767	2009	2010
reconstruction	0.1932673144340515	0.5423048506420315	0.10480980208814485	0.6869645772551549	0.0018824269972421207	2009	2010
valence	0.2748917329311371	0.5909642292788688	0.16245118108678208	0.720996666658716	0.002950712959624486	2009	2010
encouraged	0.2553268647193908	0.6035025570093534	0.1540904157313336	0.8094919920765707	0.005589842969403643	2009	2010
remission	0.1470879083871841	0.5232154728360174	0.07695866953526134	0.607842854362435	0.0010515267022261755	2009	2010
concepts	0.1807848435640335	0.5639927652301151	0.10196134383337302	0.7439779860276919	0.0013915517325187538	2009	2010
fracture	0.1583950239419937	0.5296525718309324	0.08389433179609908	0.699492892561587	0.0014580176055875294	2009	2010
egf	0.3061874240636825	0.5555544804820558	0.17010379530583802	0.6960239957727657	0.00456023433521594	2009	2010
expense	0.1444999295473098	0.5371779899727969	0.07762218170543464	0.5626906666238894	0.000732880651814017	2009	2010
