tok	original_global_distance	global_distance_qst	local_distance_qst	ratio_metric	year_1	year_2
poly(adp	0.2025960081815719	0.47809112846979046	0.6315300421103541	0.9160433066946194	2017	2018
partners	0.1330047422647476	0.4679652927074342	0.5185948164339184	0.8795766259100464	2017	2018
permeation	0.1845175278186798	0.5108816383741088	0.7024929963325076	1.0444949085040967	2017	2018
137	0.2693217092752457	0.5558907730070083	0.6326499900452355	1.2516983192870719	2017	2018
sixty	0.1386518615484237	0.44792498979650813	0.5082055225586282	0.8113480623428423	2017	2018
-0.4	0.29428098320961	0.5391963676847541	0.5840165456565372	1.170121782624921	2017	2018
vigorously	0.6632385781407356	0.5639959914959396	0.8123527715494915	1.2935568951098004	2017	2018
pdgf	0.2564751380681991	0.5097135132115962	0.6500564115328475	1.0396238259603034	2017	2018
vesicular	0.2547714668512344	0.5274794496541483	0.5986765051154128	1.1163100721610317	2017	2018
normalised	0.4646835818886757	0.5367003091387399	0.774433445602929	1.1584301041535994	2017	2018
transgenesis	0.3203682541847229	0.5515054155888146	0.6583489916424436	1.229681326727432	2017	2018
efficacies	0.2054562723636627	0.5494331428476551	0.671324237174146	1.2194264494289728	2017	2018
argue	0.0628869408369063	0.49716796634681426	0.5894097701710637	0.9887356673256856	2017	2018
compatible	0.1370605564117431	0.5266400977188199	0.575011565146401	1.1125574751491965	2017	2018
polarized	0.2457220327854156	0.5241612841059322	0.7078720145871827	1.1015524096669385	2017	2018
recover	0.1190579080581664	0.5161520782063266	0.6886053729126312	1.066765103160717	2017	2018
waterborne	0.3145999121665954	0.5795486785239098	0.7374996561704473	1.3783966155446297	2017	2018
0.81	0.2521057999134063	0.5037109094959065	0.48473935755176895	1.0149546285296625	2017	2018
precipitated	0.234318550825119	0.5438106744136609	0.7863045739524235	1.1920723346928437	2017	2018
declined	0.0774464309215545	0.47927268168016124	0.4774397557906894	0.9203908933116212	2017	2018
represent	0.0482661169767379	0.44892730841604656	0.4606324873087464	0.8146426329450124	2017	2018
adaptations	0.1341008204221725	0.5121535308024845	0.5652562039691743	1.0498252280988174	2017	2018
rescues	0.1263507992029189	0.5227159623210546	0.6063090830519965	1.0951884434749726	2017	2018
protocols	0.108527750968933	0.4835329732945741	0.480759373533296	0.9362320308792217	2017	2018
2.1	0.2728967255353927	0.47167067303812976	0.3962589276834008	0.8927588323564147	2017	2018
nearly	0.15189227104187	0.43600652878599455	0.41591767112585354	0.7730701702051322	2017	2018
sarcoplasmic	0.3390059208869934	0.4223883302121569	0.4954304817390332	0.7312669606680562	2017	2018
intratumoral	0.1820952266454696	0.5211820781815032	0.7029500112520876	1.0884765469974722	2017	2018
unresectable	0.1679006415605545	0.5220930843631395	0.5700590264389754	1.0924576884755814	2017	2018
port	0.2639364492893219	0.5482738888420107	0.7170790210723217	1.2137307879691155	2017	2018
underneath	0.3772411715984344	0.5502764276602047	0.7317105082018299	1.223588136146075	2017	2018
0.01	0.1902086818218231	0.3957641810949486	0.40110440589471597	0.6549829862984973	2017	2018
opposite	0.1164380323886871	0.4493957689490753	0.5002426098064561	0.8161865521652906	2017	2018
rms	0.3226235580444336	0.542227224246194	0.6133746905247774	1.1844898887954145	2017	2018
registration	0.1589601892232894	0.4445117068333636	0.568265581706631	0.8002179565285963	2017	2018
atrial	0.1824749839305877	0.4821576469600011	0.5035193814950025	0.9310896339966972	2017	2018
supplemental	0.2385675805807113	0.5085830616551026	0.5598384068608582	1.0349318917822021	2017	2018
achieves	0.1162335962057113	0.5392982695404017	0.5813598839192029	1.170601788281531	2017	2018
encompassed	0.3698566818237305	0.5501422346672705	0.5774450934392323	1.222924837721468	2017	2018
labour	0.2313585662841797	0.4878760664638901	0.5155699252278203	0.9526523454883403	2017	2018
treated	0.0544700026512145	0.41536426832656137	0.4412769374628703	0.7104667843986182	2017	2018
synonymous	0.1742638731002807	0.496975050561733	0.5573092728575293	0.9879729645949175	2017	2018
neurochemical	0.1946020245552063	0.5418082815439221	0.6116425759288134	1.1824925238055337	2017	2018
looks	0.2172475862503051	0.5734044504177942	0.7013048714137007	1.34414072293855	2017	2018
uses	0.0781921833753585	0.5020094783655168	0.6140967618837414	1.0080703478408441	2017	2018
overlying	0.2485797798633575	0.5561344108044592	0.7806962130634322	1.252934276370452	2017	2018
was	0.0177121824026107	0.3972971691283074	0.4357652722099598	0.6591924722731006	2017	2018
ryr1	0.3778392398357391	0.5881265028289318	0.8608927539656228	1.4279299514740522	2017	2018
adoptively	0.2796605205535888	0.4848213008210983	0.5803190882406938	0.9410740420630991	2017	2018
progestin	0.2995795476436615	0.57501608924615	0.7028321296891293	1.353030255254059	2017	2018
clue	0.250759065747261	0.5507423142862323	0.6318754466665282	1.2258940287492885	2017	2018
legs	0.1805845606327057	0.5341621499105508	0.6736717172223198	1.1466697045076568	2017	2018
appearance	0.1558113056421279	0.545109814891532	0.625989512210872	1.1983327685154412	2017	2018
executed	0.2399603903293609	0.5515929760373882	0.6474796999242506	1.2301167166448757	2017	2018
postulated	0.1485679227113723	0.5343230229623915	0.48199749808309056	1.147411294329973	2017	2018
ascending	0.3278142309188843	0.509961478257236	0.5885213908452084	1.0406558987314274	2017	2018
burn	0.238446894288063	0.49686115466089925	0.5292204121327113	0.9875229457308736	2017	2018
founder	0.193539137840271	0.535446395440156	0.7202048715150486	1.1526041132486349	2017	2018
ihc	0.1465113294124603	0.528640620100502	0.6163992238670539	1.1215234970251726	2017	2018
atrophy	0.1657733511924743	0.500504599708073	0.536579847004809	1.0020204378569977	2017	2018
micrograms	0.5783255761861801	0.5650321766432258	0.7420445459953986	1.299020631647433	2017	2018
subset	0.0907729816436767	0.49426658232267673	0.5735828664242902	0.9773263245934781	2017	2018
allocation	0.1889506334066391	0.48260614595013346	0.6008518228040972	0.9327635845933722	2017	2018
proceeded	0.2894776386022568	0.5417220949446109	0.7119827677838417	1.1820820706578388	2017	2018
gastrocnemius	0.2384178185462951	0.5196276201030351	0.5580715667739612	1.0817183540287851	2017	2018
hl-60	0.2419538331031799	0.5250512074674987	0.6849105109859329	1.1054901406693622	2017	2018
injecting	0.1808450192213058	0.5477833935448517	0.8475244726183924	1.2113296719437967	2017	2018
prove	0.0981357437372207	0.4761935404950178	0.592790772966059	0.9091020774066808	2017	2018
homozygosity	0.2483138573169708	0.5472800552265594	0.7207279275737943	1.2088710946906496	2017	2018
50.0	0.218933869600296	0.5293071603896896	0.6687329608392948	1.124527751108146	2017	2018
spots	0.2341994053125381	0.4693739207201932	0.5549513252181149	0.8845662492828318	2017	2018
pre	0.1366094368696212	0.4030305468130256	0.4249362885036149	0.6751275876201221	2017	2018
scavenging	0.1737668669223785	0.4504285784611416	0.44672608425830934	0.8195997113530642	2017	2018
disciplinary	0.2052927964925766	0.41862970225554197	0.4138347584242341	0.7200741143462254	2017	2018
70	0.098527483344078	0.4736317446624648	0.4222052419947894	0.8998106171101582	2017	2018
treat	0.1117219167947768	0.40708617020954746	0.4755253556530528	0.6865857225044318	2017	2018
justification	0.297440258860588	0.5586882392617363	0.6317488489223204	1.2659717890298574	2017	2018
but	0.0326745104789733	0.37899064766672025	0.3998064680749451	0.6102817070995182	2017	2018
neutropenia	0.1547361195087432	0.5089271212600015	0.6718329368045316	1.0363576228559261	2017	2018
generally	0.1137470626831054	0.4515887827852342	0.46474876100753343	0.8234492085678573	2017	2018
reconstruction	0.1345686501264572	0.4796587005382684	0.5880316547808716	0.9218155488223838	2017	2018
valence	0.2025045239925384	0.5416392605778789	0.6889027201729774	1.1816877275762128	2017	2018
encouraged	0.1406189364194869	0.5216499970009746	0.6607306302690007	1.090519480987726	2017	2018
remission	0.1132965165376662	0.4408669258467256	0.5061165935211283	0.7884830038257963	2017	2018
concepts	0.1442771518230438	0.4942008012879621	0.5874593822202433	0.9770691660769533	2017	2018
fracture	0.1290431594848632	0.4463209166979747	0.547259378550782	0.8061003750335137	2017	2018
egf	0.2514124202728272	0.5018749255559551	0.6016090995896439	1.007527930843665	2017	2018
expense	0.1228485935926437	0.5200649469772217	0.5520382266123843	1.0836152594016486	2017	2018
investigations	0.0824432128667831	0.4438848153230611	0.49723551874781247	0.7981886263021659	2017	2018
incorporates	0.127760105729103	0.5443163218786106	0.6735152081307774	1.1945047584820678	2017	2018
9.6	0.2444592201709747	0.5200116322232501	0.5692140309787804	1.0833838216369351	2017	2018
uncovering	0.2227911084890365	0.5316294100403622	0.5310420559859251	1.1350614693509598	2017	2018
11.9	0.2156704217195511	0.5265871702272764	0.6161590817907764	1.1123212915038252	2017	2018
attached	0.1280384308099746	0.5324500607582378	0.5438310105111643	1.138808961502007	2017	2018
hindlimb	0.2256438726186752	0.5308912743579015	0.6920189906387496	1.1317019815208884	2017	2018
collecting	0.1877678114175796	0.5107143094204972	0.5995361144327457	1.04379571946119	2017	2018
heritability	0.1702434873580932	0.5127213485866908	0.5347030372569543	1.0522138556646947	2017	2018
optimisation	0.3087320244312286	0.5594794413999362	0.6741263228184616	1.2700416143526048	2017	2018
guinea_pig	0.2470676034688949	0.5391258583106884	0.6933199999951507	1.16978977456741	2017	2018
hypothalamic	0.16028568983078	0.49434170227174934	0.5496972209153983	0.9776200736597364	2017	2018
survivals	0.2418714845180511	0.497818778644253	0.5895746836808552	0.991313011068561	2017	2018
encephalopathy	0.1482067203521728	0.4765097365288906	0.5766958129216526	0.9102552039254661	2017	2018
newborns	0.1679668736457824	0.5259911509718675	0.5567805053355783	1.109665256356111	2017	2018
histologically	0.1226524782180785	0.48279616910037804	0.4664519825600337	0.9334736911376016	2017	2018
succumbed	0.1845013451576233	0.5186209781175576	0.6528053846435353	1.0773651416912178	2017	2018
pluripotent	0.1494720160961151	0.43916106888946727	0.5231834947139359	0.7830431243777466	2017	2018
particular	0.0901799899339675	0.43757993373620696	0.46151500282524255	0.7780304437625951	2017	2018
makers	0.2855774652957916	0.4139551753693639	0.40193554728439485	0.7063541182711843	2017	2018
generalized	0.2244798779487609	0.46134986498415625	0.4728745698882403	0.8564926192222827	2017	2018
conflicts	0.1844490039348602	0.4904900084658266	0.6386047626375327	0.9626700489011488	2017	2018
intestine	0.1350856339931487	0.4585242108163249	0.5183024660088765	0.8468046401623839	2017	2018
anaemia	0.1985212951898574	0.5222580361736006	0.6322909815711532	1.0931801594121158	2017	2018
currents	0.1244548743963241	0.4796728080493452	0.511841478337554	0.9218676545638517	2017	2018
dsm	0.2046547627449035	0.45103300059785156	0.46174011177188246	0.8216031220256376	2017	2018
histocompatibility	0.1473500430583953	0.40617476196318475	0.4806708103387751	0.6839971357667408	2017	2018
